Date,Serial number,Sequence code,Name,Order,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species,Subspecies,Sex,Adult/Larvae,Latitude,Longitude,Elevation,Locality,Environment,Collector
2020/9/25,20092514-6(0),Esp14-6,Episcapha (Ephicaspa) yunnanensis,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Ephicaspa,yunnanensis,,_,Adult,22.735759,120.315228,13,"Nanzih District, Kaohsiung City",,___(Chun-Zhu Huang)
2020/10/2,20100216-15(3),Ec16-1,Encaustes cruenta formosana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Encaustes,,cruenta,formosana,_,Adult,24.831861,121.736428,195,"Jiaoxi Township, Yilan County",Bresadolia uda,___(Guan Jie Phang)
2020/10/2,20100216-16(3),Ec16-2,Encaustes cruenta formosana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Encaustes,,cruenta,formosana,_,Adult,24.831861,121.736428,195,"Jiaoxi Township, Yilan County",Bresadolia uda,___(Guan Jie Phang)
2020/10/4,20100403-1(0),Et03-1,Episcapha (Psiloscapha) takasagona,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Psiloscapha,takasagona,,_,Adult,24.986167,121.63675,335,"Shenkeng District, New Taipei City",Polyporaceae,___(Jun-Run Lin)
2020/10/4,20100403-2(0),Et03-2,Episcapha (Psiloscapha) takasagona,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Megalodacnini,,Episcapha,Psiloscapha,takasagona,,_,Adult,24.986167,121.63675,335,"Shenkeng District, New Taipei City",Polyporaceae,___(Jun-Run Lin)
2020/10/7,20100702-3(0),Sf02-1,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,,Adult,25.091806,121.596464,35,"Neihu District, Taipei City",Pleurotus sp. ,___(Guan Jie Phang)
2020/10/7,20100702-4(0),Sf02-2,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,,Adult,25.091806,121.596464,35,"Neihu District, Taipei City",Pleurotus sp. ,___(Guan Jie Phang)
2020/10/7,20100702-5(0),,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,,Adult,25.091806,121.596464,35,"Neihu District, Taipei City",Pleurotus sp. ,___(Guan Jie Phang)
2020/10/7,20100702-6(0),,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,,Adult,25.091806,121.596464,35,"Neihu District, Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/10/10,20101008-2(2),Ne08-1,Neotriplax sp. 1,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Neotriplax,,,,_,Adult,24.255822,121.007975,2270,"Heping District, Taichung City",Daedaleopsis tricolor,___(Guan Jie Phang)
2020/10/10,20101008-3(2),Ne08-2,Neotriplax sp. 1,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Neotriplax,,,,_,Adult,24.255822,121.007975,2270,"Heping District, Taichung City",Daedaleopsis tricolor,___(Guan Jie Phang)
2020/10/11,20101108-8,Nt08-1,Neosternus taiwanus,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Dacnini,,Neosternus,,,,,Adult,24.224,120.972,1936,"Heping District, Taichung City",Phellinus s. l.,___(Guan Jie Phang)
2020/11/4,20110403-13(1),Mt03-1,Micrencaustes (Mimencaustes) taiwana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Micrencaustes,Mimencaustes,taiwana,,_,Adult,24.894496,121.741781,297,"Pinglin District, New Taipei City",Microporus affinis,___(Guan Jie Phang)
2020/11/4,20110403-14(1),Mt03-2,Micrencaustes (Mimencaustes) taiwana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Micrencaustes,Mimencaustes,taiwana,,_,Adult,24.894496,121.741781,297,"Pinglin District, New Taipei City",Microporus affinis,___(Guan Jie Phang)
2020/11/4,20110403-15(1),Mt03-3,Micrencaustes (Mimencaustes) taiwana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Micrencaustes,Mimencaustes,taiwana,,_,Adult,24.894496,121.741781,297,"Pinglin District, New Taipei City",Microporus affinis,___(Guan Jie Phang)
2020/11/7,20110703-5(0),Tf03-1,Tritoma (Tritoma) fasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,fasciata,,,Adult,24.937031,121.500666,290,"Xindian District, New Taipei City",Favolus tenuiculus,___(Guan Jie Phang)
2020/11/7,20110703-12(2),Sf03-1,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,_,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-13(2),Sf03-2,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-14(2),Sf03-3,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-15(2),,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-16(2),,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-17(2),,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-18(2),,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-19(2),,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-20(2),,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-21(2),,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-27(2),Tt03-1,Tritoma (Tritoma) taiwana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,taiwana,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-28(2),Tt03-2,Tritoma (Tritoma) taiwana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,taiwana,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-29(2),Tt03-3,Tritoma (Tritoma) taiwana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,taiwana,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-30(2),,Tritoma (Tritoma) taiwana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,taiwana,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-31(2),,Tritoma (Tritoma) taiwana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,taiwana,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-32(2),,Tritoma (Tritoma) taiwana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,taiwana,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/7,20110703-33(2),,Tritoma (Tritoma) taiwana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,Tritoma,taiwana,,,Adult,24.939025,121.501928,338,"Xindian District, New Taipei City",Pleurotus sp.,___(Guan Jie Phang)
2020/11/15,20111502-1(0),Sf02-3,Spondotriplax flavofasciata,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Spondotriplax,,flavofasciata,,,Adult,25.154064,121.492583,231,"Beitou District, Taipei City",Pleurotus sp.,___(Ya-Fen Chen)
